Gold_MA7,Gold_MA30,DXY_Lag1,DXY_Lag7,day_of_week,month
2331.714285714286,2345.116674804688,105.04000091552734,104.76000213623048,1,6
2330.6142578125,2344.8633382161456,105.1500015258789,104.62999725341795,2,6
2325.17138671875,2345.586669921875,105.27999877929688,104.0500030517578,3,6
2322.399972098214,2345.096671549479,104.69000244140624,104.16999816894533,4,6
2317.428536551339,2345.7700032552084,105.2300033569336,104.25,0,6
2307.699986049108,2345.4033365885416,105.51000213623048,104.08999633789062,1,6
2313.17138671875,2345.5566650390624,105.3000030517578,105.04000091552734,3,6
2317.6285226004466,2346.1433268229166,105.1999969482422,105.1500015258789,4,6
2318.828543526786,2346.563330078125,105.63999938964844,105.27999877929688,0,6
2320.9714006696427,2345.1333251953124,105.83000183105467,104.69000244140624,1,6
2321.0999581473216,2343.4533203125,105.51000213623048,105.2300033569336,2,6
2317.7571149553573,2342.1466552734373,105.66000366210938,105.51000213623048,3,6
2319.699951171875,2340.939982096354,106.06999969482422,105.3000030517578,4,6
2318.9714006696427,2338.7499837239584,105.91999816894533,105.1999969482422,0,7
2318.899972098214,2337.083317057292,105.8499984741211,105.63999938964844,1,7
2319.985665457589,2334.253312174479,105.8499984741211,105.83000183105467,2,7
2324.3428083147323,2331.766642252604,105.66999816894533,105.51000213623048,4,7
2334.885672433036,2330.573307291667,105.16999816894533,105.66000366210938,0,7
2344.357107979911,2330.3033121744797,104.87999725341795,106.06999969482422,1,7
2350.199986049108,2331.093310546875,104.98999786376952,105.91999816894533,2,7
2358.042829241072,2332.4866455078127,105.12000274658205,105.8499984741211,3,7
2367.9142717633927,2334.469978841146,104.98999786376952,105.8499984741211,4,7
2382.0714285714284,2337.573315429688,104.5199966430664,105.66999816894533,0,7
2392.428571428572,2340.349975585937,104.08000183105467,105.16999816894533,1,7
2405.457135881697,2345.359969075521,104.25,104.87999725341795,2,7
2420.1571219308034,2349.3099690755207,104.22000122070312,104.98999786376952,3,7
2427.6571219308034,2352.389973958333,103.6999969482422,105.12000274658205,4,7
2431.0,2353.9599772135416,104.16000366210938,104.98999786376952,0,7
2430.428571428572,2354.489982096354,104.37000274658205,104.5199966430664,1,7
2429.1428571428573,2358.8366455078126,104.30999755859376,104.08000183105467,2,7
2420.3000139508927,2361.019978841146,104.4800033569336,104.25,3,7
2405.414306640625,2362.8133138020835,104.37999725341795,104.22000122070312,4,7
2392.7428850446427,2365.076652018229,104.36000061035156,103.6999969482422,0,7
2387.3285784040177,2367.5399820963544,104.33000183105467,104.16000366210938,1,7
2388.0428641183034,2370.4366536458333,104.55999755859376,104.37000274658205,2,7
2395.314278738839,2374.933317057292,104.43000030517578,104.30999755859376,3,8
2398.599993024553,2378.769986979167,104.06999969482422,104.4800033569336,4,8
2409.528564453125,2382.4633219401044,104.30999755859376,104.37999725341795,0,8
2416.0714285714284,2385.5033203125,103.22000122070312,104.36000061035156,1,8
2418.199986049108,2387.763321940104,102.77999877929688,104.33000183105467,2,8
2418.685721261161,2390.309993489583,102.9499969482422,104.55999755859376,3,8
2420.8571428571427,2394.4933268229165,103.08999633789062,104.43000030517578,4,8
2418.8571428571427,2398.069995117188,103.2699966430664,104.06999969482422,0,8
2421.285714285714,2402.6433268229166,103.1500015258789,104.30999755859376,1,8
2425.0,2407.2199951171874,103.08999633789062,103.22000122070312,2,8
2430.3285784040177,2411.25,102.61000061035156,102.77999877929688,3,8
2439.085728236608,2414.536669921875,102.62999725341795,102.9499969482422,4,8
2456.8285784040177,2418.7633382161457,103.04000091552734,103.08999633789062,0,8
2468.428571428572,2423.4433349609376,102.4000015258789,103.2699966430664,1,8
2479.6142926897323,2428.266666666667,101.87999725341795,103.1500015258789,2,8
2485.771449497768,2432.446671549479,101.3499984741211,103.08999633789062,3,8
2488.414306640625,2435.336669921875,101.12999725341795,102.61000061035156,4,8
2496.714285714286,2438.0,101.45999908447266,102.62999725341795,0,8
2505.528564453125,2440.9266682942707,100.68000030517578,103.04000091552734,1,8
2504.457135881697,2441.8633382161456,100.81999969482422,102.4000015258789,2,8
2504.5428641183034,2443.133341471354,100.56999969482422,101.87999725341795,3,8
2505.757149832589,2446.4900065104166,101.0,101.3499984741211,4,8
2505.4000069754466,2449.806673177083,101.37999725341795,101.12999725341795,1,9
2506.028564453125,2452.976668294271,101.66000366210938,101.45999908447266,2,9
2503.714285714286,2455.4,101.69000244140624,100.68000030517578,3,9
2503.0142996651784,2460.226668294271,101.27999877929688,100.81999969482422,4,9
2501.628592354911,2464.313338216146,101.05999755859376,100.56999969482422,0,9
2502.8000139508927,2468.813338216146,101.19000244140624,101.0,1,9
2503.700020926339,2473.643343098958,101.63999938964844,101.37999725341795,2,9
2507.628592354911,2477.710009765625,101.66000366210938,101.66000366210938,3,9
2518.7571847098216,2481.7800130208334,101.77999877929688,101.69000244140624,4,9
2531.142892020089,2486.326676432292,101.1999969482422,101.27999877929688,0,9
2541.271449497768,2490.9666748046875,101.04000091552734,101.05999755859376,1,9
2552.6142926897323,2496.17333984375,100.76000213623048,101.19000244140624,2,9
2560.285714285714,2501.9666748046875,100.94000244140624,101.63999938964844,3,9
2569.5142647879466,2508.836669921875,101.01000213623048,101.66000366210938,4,9
2583.428536551339,2515.6433349609374,100.69000244140624,101.77999877929688,0,9
2593.142822265625,2522.446671549479,100.73999786376952,101.1999969482422,1,9
2603.9857003348216,2528.9566731770838,100.97000122070312,101.04000091552734,2,9
2615.5714285714284,2535.433341471354,100.27999877929688,100.76000213623048,3,9
2629.757149832589,2542.7066731770838,100.93000030517578,100.94000244140624,4,9
2643.314278738839,2549.6200032552083,100.58999633789062,101.01000213623048,0,9
